,ARE,ATAD5,HSE,MMP,p53
Accuracy,0.96,1.0,0.99,0.99,0.99
Precision,0.93,0.93,0.9,0.98,0.95
Recall,0.98,1.0,1.0,1.0,0.99
F1,0.95,0.96,0.95,0.99,0.97
Specificity,0.96,0.99,0.99,0.99,0.99
