,ARE,ATAD5,HSE,MMP,p53
Accuracy,0.89,1.0,0.99,0.99,0.99
Precision,0.88,0.93,0.92,0.96,0.92
Recall,0.78,1.0,1.0,1.0,1.0
F1,0.83,0.96,0.96,0.98,0.96
Specificity,0.94,0.99,0.99,0.99,0.99
